                                                                            	CentOS6/run-1 vs CentOS7/run-1	CentOS5/run-1 vs CentOS7/run-1	CentOS5/run-1 vs CentOS6/run-1	
T2w/BrainExtraction_FNIRTbased/standard2str.nii.gz                          	              0.0685130236               	              0.0685130236               	              0               	
T2w/ACPCAlignment/robustroi.nii.gz                                          	              0.0013507645               	              0.0013507645               	              0               	
T2w/BrainExtraction_FNIRTbased/str2standard.nii.gz                          	              0.0652590165               	              0.0652590165               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T1w_acpc_ShiftMap.nii.gz       	              0.001132877               	              0.001132877               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/T2w2T1w/T2w_reg.nii.gz                  	              0.0126133737               	              0.0125953572               	              0.009195587               	
T2w/T2wToT1wDistortionCorrectAndReg/T2w2T1w/sqrtT1wbyT2w.nii.gz             	              0.0132201379               	              0.0134460749               	              0.0081832656               	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T2w_acpc.nii.gz                	              0.0114192382               	              0.0114192382               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T1w_acpc.nii.gz                	              0.0010341381               	              0.0010341381               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/T2w2T1w/T2w_reg_fast_wmedge.nii.gz      	              0.1791244876               	              0.1790699311               	              0.0076502814               	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T1w_acpc_Warp.nii.gz           	              0.0               	              0.0               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T2w_acpc_Warp.nii.gz           	              0.0071260301               	              0.0071260301               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T2w_acpc_ShiftMap.nii.gz       	              0.0104774512               	              0.0104774512               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/T2w2T1w/T2w_dc_reg.nii.gz               	              0.2126375882               	              0.2142740349               	              0.0307559487               	
T2w/T2wToT1wDistortionCorrectAndReg/Magnitude_warppedT1w2T1w_acpc.nii.gz    	              0.0050198994               	              0.0050198994               	              0               	
T2w/T2w_acpc.nii.gz                                                         	              0.0432281705               	              0.0432281705               	              0               	
T2w/T2w.nii.gz                                                              	              0.0005820902               	              0.0005820902               	              0               	
T2w/T2w_acpc_brain.nii.gz                                                   	              0.0490746011               	              0.0490746011               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/T2w_acpc.nii.gz                         	              0.0431996556               	              0.0431996556               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/Magnitude_warppedT2w2T2w_acpc.nii.gz    	              0.0275742565               	              0.0275742565               	              0               	
T2w/T2w_acpc_brain_mask.nii.gz                                              	              0.1779691965               	              0.1779691965               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/T1w_acpc_brain.nii.gz                   	              0.0232001202               	              0.0232001202               	              0               	
