Right-Cerebellum-White-Matter,Right-Ventral-DC,Right-Cerebral-Cortex,Right-Choroid-Plexus,Left-Putamen,Left-Amygdala,Left-Cerebral-White-Matter,Non-WM-hypointensities,CC_Mid_Anterior,Left-Cerebellum-White-Matter,Right-Putamen,Right-Thalamus-Proper,Left-Accumbens-area,Right-Pallidum,Right-Amygdala,Left-Ventral-DC,Background,Right-Accumbens-area,Optic-Chiasm,Right-Cerebral-White-Matter,Left-Cerebellum-Cortex,CC_Mid_Posterior,Left-Lateral-Ventricle,Right-Inf-Lateral-Ventricle,Left-Cerebral-Cortex,CC_Central,CSF,Brain-Stem,Right-Cerebellum-Cortex,Right-Hippocampus,Left-vessel,Right-Caudate,Left-Choroid-Plexus,CC_Posterior,Left-Caudate,Right-Lateral-Ventricle,Left-Thalamus-Proper,Left-Inf-Lateral-Ventricle,4th-Ventricle,Left-Hippocampus,Right-vessel,WM-hypointensities,3rd-Ventricle,CC_Anterior,Left-Pallidum
43015,13319,891192,5827,17300,5633,629061,17,1399,41801,17499,22457,1766,4623,5257,12594,17136548,2055,1019,645372,172966,1114,76345,1101,863867,1233,4593,62073,186234,14038,211,12715,5254,3313,12648,49701,24558,2491,3990,13662,391,2692,3001,3052,4566
0.9728,0.99294,0.99439,0.97816,0.91953,0.96934,0.99641,0.33333,0.97718,0.99042,0.9948,0.97822,0.93233,0.99359,0.98502,0.97849,0.99949,0.95475,0.72727,0.99216,0.99446,0.99242,0.98707,0.93726,0.99707,0.97434,0.9621,0.97036,0.99086,0.99427,0.12432,0.99687,0.91684,0.99476,0.98604,0.97697,0.96396,0.97104,0.98233,0.98524,0.45318,0.83529,0.98576,0.99695,0.9423
38644,12742,794816,4532,17808,4696,671916,15,1490,37161,17685,21580,1492,4680,4339,13577,17368315,2210,528,679856,164190,1583,19880,1195,780106,1403,3588,60868,169641,14479,185,12761,4738,3241,12323,14288,24638,1139,5886,15444,133,2890,2878,3281,4731
0.98042,0.99402,0.9878,0.92197,0.97407,0.93509,0.97857,0.67442,0.99245,0.98777,0.93915,0.99688,0.99037,0.92,0.92687,0.9856,0.99941,0.9441,0.99238,0.98286,0.99753,0.98498,0.9881,0.91218,0.98723,0.99641,0.98045,0.99412,0.99556,0.94794,0.98077,0.99954,0.94429,0.9993,0.96297,0.97666,0.99437,0.92786,0.98837,0.97499,0.97927,0.93998,0.99144,0.98331,0.99803
40848,13382,892742,2845,14386,5191,725688,43,1191,42272,16204,24672,1973,3825,5401,13683,17059438,2075,656,759298,160523,1864,9916,603,879472,1671,2865,61939,164572,15310,312,10769,3069,2846,11179,10540,27354,499,3784,15553,386,4881,2220,2096,3553
0.97056,0.9462,0.99862,0.97461,0.9636,0.97915,0.99298,0.664,0.99678,0.98445,0.99805,0.99262,0.98246,0.93205,0.99584,0.96072,0.99973,0.95063,0.70871,0.99787,0.99814,0.98341,0.95223,0.92233,0.99782,0.98483,0.99558,0.99068,0.99623,0.95871,0.65967,0.96304,0.94983,0.99638,0.99528,0.90116,0.95757,0.56009,0.94665,0.9912,0.93228,0.73362,0.9364,0.99073,0.8214
39033,12435,737137,3662,15302,3837,665991,62,1550,39029,14852,23571,1710,4268,4331,12651,17578220,1985,614,674079,147484,1386,8164,309,717881,1647,2712,59562,149866,11771,214,10443,2950,2763,11865,5929,25523,220,5248,11702,221,3769,1336,2804,3499
0.98483,0.99338,0.99483,0.94292,0.99122,0.91304,0.98096,0.75,0.89502,0.92247,0.97635,0.98118,0.84225,0.92662,0.99436,0.99006,0.99948,0.9207,0.82689,0.99021,0.9952,0.95752,0.98257,0.93874,0.99134,0.80606,0.93781,0.99423,0.99836,0.98658,0.76344,0.9582,0.96875,0.94115,0.99411,0.98484,0.99739,0.95969,0.99415,0.96381,0.92,0.97284,0.92677,0.99049,0.95746
33553,10869,877653,3714,14927,4496,638721,16,1476,32426,16028,22745,1692,3393,4785,10360,17340884,1828,543,665370,140353,1671,10900,555,881050,1650,2798,53385,142911,13036,46,10001,4128,2871,10182,8574,24905,322,4102,13456,112,3387,1570,3049,3079
0.99963,0.98777,0.98957,0.97819,0.83324,0.9883,0.99848,0.89474,0.97962,0.99115,0.99538,0.9439,0.97461,0.88911,0.88811,0.96428,0.99919,0.95779,0.63019,0.99961,0.97951,0.99245,0.97438,0.84273,0.99106,0.85319,0.97785,0.85707,0.9751,0.99294,0.45455,0.96756,0.92087,0.9801,0.97171,0.97533,0.90057,0.9316,0.95819,0.99769,0.90184,0.62368,0.91518,0.93197,0.97993
