                                                                                    	run-1 vs run-2	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap_WarpT1w.nii.gz                         	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T2w_acpc.nii.gz                        	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/Magnitude.nii.gz                                	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap_ShiftMapT1w.nii.gz                     	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/T2w2T1w/sqrtT1wbyT2w.nii.gz                     	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T1w_acpc_ShiftMap.nii.gz               	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/T2w2T1w/T2w_reg.nii.gz                          	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/T2w2T1w/T2w_reg_fast_wmedge.nii.gz              	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/Fieldmap2T2w_acpc.mat                           	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/Magnitude_brain.nii.gz                          	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T2w_acpc_Warp.nii.gz                   	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/Magnitude_warppedT1w.nii.gz                     	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/Fieldmap2T1w_acpc.mat                           	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/T2w2T1w/T2w_reg.mat                             	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T1w_acpc.nii.gz                        	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap_ShiftMapT2w.nii.gz                     	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T1w_acpc_Warp.nii.gz                   	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/T2w2T1w/T2w_reg_init.mat                        	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/FieldMap2T2w_acpc_ShiftMap.nii.gz               	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/T2w2T1w/T2w_dc_reg.nii.gz                       	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/Magnitude_warppedT2w.nii.gz                     	      0       	
T2w/T2w_acpc_brain.nii.gz                                                           	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/T1w_acpc_brain.nii.gz                           	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/Magnitude_warppedT1w2T1w_acpc.nii.gz            	      0       	
T2w/T2w_acpc.nii.gz                                                                 	      0       	
T2w/xfms/acpc.mat                                                                   	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/Magnitude_warppedT2w2T2w_acpc.nii.gz            	      0       	
T2w/T2w.nii.gz                                                                      	      0       	
release-notes/Structural_unproc.txt                                                 	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/T1w_acpc.nii.gz                                 	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/T2w_acpc_brain.nii.gz                           	      0       	
T2w/T2wToT1wDistortionCorrectAndReg/T2w_acpc.nii.gz                                 	      0       	
T2w/T2w_acpc_brain_mask.nii.gz                                                      	      0       	
T2w/T2w1_gdc.nii.gz                                                                 	      0       	
monitor.txt                                                                         	      4       	
T1w/T1w_acpc_dc_restore_brain_1mm.nii.gz                                            	      0       	
T1w/subject_name/scripts/build-stamp.txt                                            	      0       	
T1w/T1w_acpc_dc_restore_1mm.nii.gz                                                  	      0       	
T1w/subject_name/scripts/csurfdir                                                   	      0       	
T1w/subject_name/mri/orig/001.mgz                                                   	      4       	
T1w/subject_name/mri/rawavg.mgz                                                     	      4       	
T1w/subject_name/touch/conform.touch                                                	      4       	
T1w/subject_name/mri/orig.mgz                                                       	      4       	
T1w/subject_name/mri/orig_nu.mgz                                                    	      4       	
T1w/subject_name/mri/orig_nu.log                                                    	      4       	
T1w/subject_name/mri/mri_nu_correct.mni.log.bak                                     	      4       	
T1w/subject_name/mri/transforms/talairach_avi.log                                   	      4       	
T1w/subject_name/mri/transforms/talsrcimg_to_711-2C_as_mni_average_305_t4_vox2vox.txt	      0       	
T1w/subject_name/mri/transforms/talairach.auto.xfm                                  	      0       	
T1w/subject_name/touch/talairach.touch                                              	      0       	
T1w/subject_name/mri/transforms/talairach.xfm                                       	      0       	
T1w/subject_name/mri/.xdebug_mris_calc                                              	      0       	
T1w/subject_name/mri/mri_nu_correct.mni.log                                         	      4       	
T1w/subject_name/mri/nu.mgz                                                         	      4       	
T1w/subject_name/touch/nu.touch                                                     	      0       	
T1w/subject_name/touch/inorm1.touch                                                 	      0       	
T1w/subject_name/mri/T1.mgz                                                         	      4       	
T1w/subject_name/mri/transforms/talairach_with_skull.lta                            	      4       	
T1w/subject_name/mri/brainmask.auto.mgz                                             	      4       	
T1w/subject_name/mri/brainmask.mgz                                                  	      4       	
T1w/subject_name/touch/em_register.touch                                            	      0       	
T1w/subject_name/mri/talairach.log                                                  	      0       	
T1w/subject_name/mri/transforms/talairach.lta                                       	      4       	
T1w/subject_name/mri/norm.mgz                                                       	      4       	
T1w/subject_name/mri/ctrl_pts.mgz                                                   	      4       	
T1w/subject_name/touch/ca_normalize.touch                                           	      0       	
T1w/subject_name/mri/talairach.label_intensities.txt                                	      0       	
T1w/subject_name/mri/transforms/talairach.m3z                                       	      0       	
T1w/subject_name/touch/ca_register.touch                                            	      0       	
T1w/subject_name/mri/transforms/talairach.m3z.inv.x.mgz                             	      4       	
T1w/subject_name/mri/transforms/talairach.m3z.inv.y.mgz                             	      4       	
T1w/subject_name/mri/transforms/talairach.m3z.inv.z.mgz                             	      4       	
T1w/subject_name/touch/ca_register_inv.touch                                        	      0       	
T1w/subject_name/touch/mri_remove_neck.touch                                        	      0       	
T1w/subject_name/mri/nu_noneck.mgz                                                  	      4       	
T1w/subject_name/mri/transforms/talairach_with_skull_2.lta                          	      4       	
T1w/subject_name/mri/talairach_with_skull_2.log                                     	      0       	
T1w/subject_name/touch/skull_2.lta.touch                                            	      0       	
T1w/subject_name/mri/aseg.auto_noCCseg.label_intensities.txt                        	      0       	
T1w/subject_name/mri/aseg.auto_noCCseg.mgz                                          	      4       	
T1w/subject_name/mri/transforms/cc_up.lta                                           	      4       	
T1w/subject_name/touch/ca_label.touch                                               	      4       	
